title	category_id	manually created from hist from pdf ft sample 20130127
acknowledg	0
author contribut	0
compet interest	0
author detail	0
author summari	0
abstract	2
introduct	3
background	3
materi and method	4
method	4
data collect	4
experiment	4
procedur	4
materi	4
implement	4
experiment procedur	4
experiment method	4
experiment paradigm	4
result	5
statist analysi	5
data analysi	5
discuss	6
conclus	7
supplementari materi	8
addit file	8
support inform	8
addit materi	8
supplementari data and ﬁgure	8
addit data file	8
abbrevi	9
list of abbrevi	9
result and discuss	10
refer	11
relat literatur	11
bibliographi	11
